O_REF	4719.669	-656.936	59.289	0.045	0.055	0.043	3.000
O_REF1	4581.267	-658.327	59.247	0.038	0.046	0.040	3.000
O_REF2	4417.135	-660.707	59.183	0.042	0.053	0.039	3.000
O_REF3	4263.984	-657.435	59.219	0.044	0.053	0.043	3.000
O_REF4	4096.875	-657.545	59.229	0.048	0.057	0.043	3.000
O_REF5	3955.454	-655.806	59.198	0.047	0.054	0.040	3.000
O_REF6	4715.256	-446.373	59.914	0.045	0.062	0.038	3.000
O_REF7	4579.024	-451.060	59.890	0.040	0.052	0.038	3.000
O_REF8	4417.684	-453.868	59.913	0.052	0.074	0.039	3.000
O_REF9	4254.149	-450.837	59.873	0.040	0.053	0.041	3.000
O_REF10	4092.561	-471.987	59.914	0.041	0.049	0.040	3.000
O_REF11	3956.701	-473.675	59.888	0.045	0.049	0.046	3.000
O_REF12	4716.328	-256.467	60.556	0.043	0.058	0.038	3.000
O_REF13	4579.641	-260.916	60.590	0.043	0.054	0.042	3.000
O_REF14	4417.857	-258.911	60.593	0.048	0.064	0.045	3.000
O_REF15	4256.093	-260.222	60.532	0.043	0.057	0.043	3.000
O_REF16	4094.143	-259.840	60.592	0.044	0.055	0.043	3.000
O_REF17	3948.985	-261.914	60.562	0.064	0.065	0.054	3.000
O_REF18	4714.403	-89.813	61.127	0.046	0.059	0.039	3.000
O_REF19	4576.332	-91.717	61.089	0.047	0.056	0.041	3.000
O_REF20	4417.903	-93.204	61.197	0.047	0.063	0.037	3.000
O_REF21	4258.856	-89.981	61.209	0.042	0.052	0.042	3.000
O_REF22	4091.130	-94.628	61.184	0.070	0.082	0.050	3.000
O_REF23	3953.112	-92.051	61.114	0.045	0.056	0.047	3.000
O_REF24	4719.313	126.929	61.777	0.043	0.052	0.039	3.000
O_REF25	4580.841	126.162	61.825	0.047	0.059	0.038	3.000
O_REF26	4419.309	125.386	61.797	0.048	0.058	0.045	3.000
O_REF27	4255.757	124.306	61.849	0.052	0.079	0.044	3.000
O_REF28	4095.905	123.043	61.939	0.051	0.059	0.047	3.000
O_REF29	3948.001	124.484	61.855	0.047	0.060	0.045	3.000
O_REF30	4719.209	320.978	62.384	0.051	0.062	0.046	3.000
O_REF31	4579.925	317.983	62.431	0.044	0.056	0.038	3.000
O_REF32	4411.931	317.671	62.423	0.050	0.071	0.048	3.000
O_REF34	4256.254	316.457	62.560	0.051	0.066	0.048	3.000
O_REF35	4093.965	317.619	62.628	0.048	0.057	0.052	3.000
O_REF36	3948.215	316.334	62.546	0.054	0.063	0.055	3.000
O_REF37	4714.902	533.976	62.956	0.051	0.060	0.041	3.000
O_REF38	4577.613	533.950	63.067	0.049	0.067	0.043	3.000
O_REF39	4413.394	537.378	63.161	0.053	0.077	0.046	3.000
O_REF40	4256.190	535.818	63.192	0.052	0.063	0.058	3.000
O_REF41	4090.863	533.931	63.241	0.066	0.090	0.051	3.000
O_REF42	3950.683	535.163	63.166	0.050	0.066	0.047	3.000
O_REF43	4718.206	726.996	63.628	0.046	0.057	0.043	3.000
O_REF44	4578.451	725.846	63.670	0.060	0.083	0.052	3.000
O_REF45	4413.950	726.524	63.743	0.106	0.129	0.066	3.000
O_REF46	4248.728	730.023	63.789	0.052	0.065	0.053	3.000
O_REF47	4087.548	729.641	63.901	0.055	0.072	0.055	3.000
O_REF48	3947.558	726.340	63.884	0.059	0.070	0.051	3.000
O_REF49	4722.116	911.344	64.300	0.050	0.062	0.051	3.000
O_REF50	4574.627	919.887	64.392	0.047	0.058	0.046	3.000
O_REF51	4411.505	916.130	64.346	0.075	0.100	0.068	3.000
O_REF52	4253.988	918.501	64.429	0.052	0.067	0.052	3.000
O_REF53	4094.240	919.020	64.594	0.055	0.071	0.055	3.000
O_REF54	3943.716	919.794	64.307	0.063	0.073	0.054	3.000
O_REF55	4711.998	1098.218	64.949	0.059	0.076	0.054	3.000
O_REF56	4574.633	1096.557	64.986	0.053	0.064	0.051	3.000
O_REF57	4411.159	1095.031	64.894	0.059	0.065	0.054	3.000
O_REF58	4252.943	1098.788	65.029	0.058	0.073	0.058	3.000
O_REF59	4088.103	1098.888	65.051	0.058	0.066	0.048	3.000
O_REF60	3945.946	1099.803	64.901	0.069	0.080	0.053	3.000
