O_UPPER2	-1355.613	371.951	-687.141	0.053	0.052	0.055	0.000
O_UPPER3	-1532.687	424.958	-643.789	0.074	0.062	0.074	0.000
O_UPPER4	-1715.908	479.597	-598.167	0.044	0.054	0.043	0.000
O_UPPER5	-1873.346	526.714	-559.688	0.066	0.055	0.059	0.000
O_UPPER6	-2073.523	586.393	-510.207	0.058	0.053	0.033	0.000
O_UPPER7	-2252.012	639.659	-465.970	0.056	0.062	0.043	0.000
O_UPPER8	-2451.225	699.158	-416.946	0.057	0.055	0.040	0.000
O_UPPER9	-2632.082	753.306	-372.336	0.092	0.059	0.049	0.000
O_UPPER10	-2811.729	806.859	-327.601	0.100	0.069	0.045	0.000
O_UPPER11	-1310.187	295.539	-550.858	0.044	0.052	0.044	0.000
O_UPPER12	-1293.856	226.695	-405.102	0.044	0.045	0.038	0.000
O_UPPER13	-1280.516	158.603	-257.803	0.045	0.042	0.044	0.000
O_UPPER14	-1263.699	90.524	-114.469	0.045	0.040	0.041	0.000
O_UPPER15	-1250.435	28.607	18.178	0.046	0.042	0.032	0.000
O_UPPER16	-1458.154	91.255	68.368	0.052	0.052	0.033	0.000
O_UPPER17	-1636.719	141.771	119.492	0.050	0.045	0.041	0.000
O_UPPER18	-1795.556	188.207	161.041	0.046	0.041	0.037	0.000
O_UPPER20	-2373.152	359.139	307.043	0.052	0.042	0.037	0.000
O_UPPER21	-2557.163	413.293	354.107	0.066	0.053	0.035	0.000
O_UPPER22	-2738.299	467.734	397.691	0.075	0.053	0.028	0.000
O_UPPER23	-2911.255	519.017	441.229	0.081	0.056	0.032	0.000
O_UPPER24	-2992.096	856.766	-273.397	0.128	0.079	0.049	0.000
O_UPPER25	-2980.992	797.351	-144.599	0.113	0.062	0.044	0.000
O_UPPER26	-2971.009	732.229	-1.097	0.100	0.057	0.038	0.000
O_UPPER27	-2949.013	653.617	162.140	0.100	0.057	0.029	0.000
O_UPPER28	-2933.375	589.805	296.614	0.135	0.056	0.032	0.000
O_UPPER29	-1989.804	244.185	213.673	0.068	0.046	0.029	0.000
O_UPPER64	-2175.184	298.968	260.591	0.065	0.047	0.038	0.000
